instance,variant,run,seed,value,weight,feasible,seconds,items
p03,MMAS,12,987854333,150,190,1,0.0753835,1 2 5
p03,MMAS,13,987854334,150,190,1,0.0783945,1 2 5
p03,MMAS,14,987854335,150,190,1,0.0721127,1 2 5
p03,MMAS,15,987854336,150,190,1,0.077932,1 2 5
p03,MMAS,16,987854337,150,190,1,0.0760711,1 2 5
p03,MMAS,17,987854338,150,190,1,0.0725408,1 2 5
p03,MMAS,18,987854339,150,190,1,0.0786157,1 2 5
p03,MMAS,19,987854340,150,190,1,0.0740239,1 2 5
p03,MMAS,20,987854341,150,190,1,0.0773361,1 2 5
p03,ACS,1,987954322,150,190,1,0.0700782,1 2 5
p03,ACS,2,987954323,150,190,1,0.0750172,1 2 5
p03,ACS,3,987954324,150,190,1,0.0722826,1 2 5
p03,ACS,4,987954325,150,190,1,0.0750505,1 2 5
p03,ACS,5,987954326,150,190,1,0.0759258,1 2 5
p03,ACS,6,987954327,150,190,1,0.0719936,1 2 5
p03,ACS,7,987954328,150,190,1,0.0732162,1 2 5
p03,ACS,8,987954329,150,190,1,0.0696529,1 2 5
p03,ACS,9,987954330,150,190,1,0.0772638,1 2 5
p03,ACS,10,987954331,150,190,1,0.0709778,1 2 5
p03,ACS,11,987954332,150,190,1,0.0762866,1 2 5
p03,ACS,12,987954333,150,190,1,0.072326,1 2 5
p03,ACS,13,987954334,150,190,1,0.080359,1 2 5
p03,ACS,14,987954335,150,190,1,0.0724972,1 2 5
p03,ACS,15,987954336,150,190,1,0.115409,1 2 5
p03,ACS,16,987954337,150,190,1,0.0753222,1 2 5
p03,ACS,17,987954338,150,190,1,0.0778044,1 2 5
p03,ACS,18,987954339,150,190,1,0.0746156,1 2 5
p03,ACS,19,987954340,150,190,1,0.0824373,1 2 5
p03,ACS,20,987954341,150,190,1,0.074845,1 2 5
p04,AS,1,987654322,107,50,1,0.116799,1 4
p04,AS,2,987654323,107,50,1,0.168598,1 4
p04,AS,3,987654324,107,50,1,0.116694,1 4
p04,AS,4,987654325,107,50,1,0.115734,1 4
p04,AS,5,987654326,107,50,1,0.106184,1 4
p04,AS,6,987654327,107,50,1,0.110126,1 4
p04,AS,7,987654328,107,50,1,0.10665,1 4
p04,AS,8,987654329,107,50,1,0.106347,1 4
p04,AS,9,987654330,107,50,1,0.10605,1 4
p04,AS,10,987654331,107,50,1,0.103238,1 4
p04,AS,11,987654332,107,50,1,0.114172,1 4
p04,AS,12,987654333,107,50,1,0.109135,1 4
p04,AS,13,987654334,107,50,1,0.107989,1 4
p04,AS,14,987654335,107,50,1,0.101368,1 4
p04,AS,15,987654336,107,50,1,0.10813,1 4
p04,AS,16,987654337,107,50,1,0.109123,1 4
p04,AS,17,987654338,107,50,1,0.110186,1 4
p04,AS,18,987654339,107,50,1,0.111524,1 4
p04,AS,19,987654340,107,50,1,0.11096,1 4
p04,AS,20,987654341,107,50,1,0.110005,1 4
p04,ASRank,1,987754322,107,50,1,0.0675389,1 4
p04,ASRank,2,987754323,107,50,1,0.0655792,1 4
p04,ASRank,3,987754324,107,50,1,0.0748798,1 4
p04,ASRank,4,987754325,107,50,1,0.0671559,1 4
p04,ASRank,5,987754326,107,50,1,0.0715535,1 4
p04,ASRank,6,987754327,107,50,1,0.0657237,1 4
p04,ASRank,7,987754328,107,50,1,0.0678544,1 4
p04,ASRank,8,987754329,107,50,1,0.0806022,1 4
p04,ASRank,9,987754330,107,50,1,0.0807624,1 4
p04,ASRank,10,987754331,107,50,1,0.089764,1 4
p04,ASRank,11,987754332,107,50,1,0.0905826,1 4
p04,ASRank,12,987754333,107,50,1,0.0829267,1 4
p04,ASRank,13,987754334,107,50,1,0.0833681,1 4
p04,ASRank,14,987754335,107,50,1,0.0909533,1 4
p04,ASRank,15,987754336,107,50,1,0.0885263,1 4
p04,ASRank,16,987754337,107,50,1,0.0773124,1 4
p04,ASRank,17,987754338,107,50,1,0.0675594,1 4
p04,ASRank,18,987754339,107,50,1,0.0655472,1 4
p04,ASRank,19,987754340,107,50,1,0.0773974,1 4
p04,ASRank,20,987754341,107,50,1,0.0713238,1 4
p04,MMAS,1,987854322,107,50,1,0.0822105,1 4
p04,MMAS,2,987854323,107,50,1,0.0853112,1 4
p04,MMAS,3,987854324,107,50,1,0.0936646,1 4
p04,MMAS,4,987854325,107,50,1,0.0677251,1 4
p04,MMAS,5,987854326,107,50,1,0.0744919,1 4
p04,MMAS,6,987854327,107,50,1,0.0859285,1 4
p04,MMAS,7,987854328,107,50,1,0.0812305,1 4
p04,MMAS,8,987854329,107,50,1,0.070925,1 4
p04,MMAS,9,987854330,107,50,1,0.0771717,1 4
p04,MMAS,10,987854331,107,50,1,0.0792934,1 4
p04,MMAS,11,987854332,107,50,1,0.0738536,1 4
p04,MMAS,12,987854333,107,50,1,0.0853281,1 4
p04,MMAS,13,987854334,107,50,1,0.0726686,1 4
p04,MMAS,14,987854335,107,50,1,0.087867,1 4
p04,MMAS,15,987854336,107,50,1,0.0756289,1 4
p04,MMAS,16,987854337,107,50,1,0.134595,1 4
p04,MMAS,17,987854338,107,50,1,0.110479,1 4
p04,MMAS,18,987854339,107,50,1,0.133515,1 4
p04,MMAS,19,987854340,107,50,1,0.138433,1 4
p04,MMAS,20,987854341,107,50,1,0.125737,1 4
p04,ACS,1,987954322,107,50,1,0.122771,1 4
p04,ACS,2,987954323,107,50,1,0.126187,1 4
p04,ACS,3,987954324,107,50,1,0.15578,1 4
p04,ACS,4,987954325,107,50,1,0.111762,1 4
p04,ACS,5,987954326,107,50,1,0.110638,1 4
p04,ACS,6,987954327,107,50,1,0.126606,1 4
p04,ACS,7,987954328,107,50,1,0.119466,1 4
p04,ACS,8,987954329,107,50,1,0.123425,1 4
p04,ACS,9,987954330,107,50,1,0.111294,1 4
p04,ACS,10,987954331,107,50,1,0.111241,1 4
p04,ACS,11,987954332,107,50,1,0.110068,1 4
p04,ACS,12,987954333,107,50,1,0.112366,1 4
p04,ACS,13,987954334,107,50,1,0.117436,1 4
p04,ACS,14,987954335,107,50,1,0.121603,1 4
p04,ACS,15,987954336,107,50,1,0.107074,1 4
p04,ACS,16,987954337,107,50,1,0.111281,1 4
p04,ACS,17,987954338,107,50,1,0.121513,1 4
p04,ACS,18,987954339,107,50,1,0.111987,1 4
p04,ACS,19,987954340,107,50,1,0.136443,1 4
p04,ACS,20,987954341,107,50,1,0.125594,1 4
p05,AS,1,987654322,900,104,1,0.254967,1 3 4 5 7 8
p05,AS,2,987654323,900,104,1,0.267064,1 3 4 5 7 8
p05,AS,3,987654324,900,104,1,0.2817,1 3 4 5 7 8
p05,AS,4,987654325,900,104,1,0.288973,1 3 4 5 7 8
p05,AS,5,987654326,900,104,1,0.250485,1 3 4 5 7 8
p05,AS,6,987654327,900,104,1,0.241578,1 3 4 5 7 8
p05,AS,7,987654328,900,104,1,0.244111,1 3 4 5 7 8
p05,AS,8,987654329,900,104,1,0.268017,1 3 4 5 7 8
p05,AS,9,987654330,900,104,1,0.19938,1 3 4 5 7 8
p05,AS,10,987654331,900,104,1,0.269702,1 3 4 5 7 8
p05,AS,11,987654332,900,104,1,0.234442,1 3 4 5 7 8
p05,AS,12,987654333,900,104,1,0.267616,1 3 4 5 7 8
p05,AS,13,987654334,900,104,1,0.238608,1 3 4 5 7 8
p05,AS,14,987654335,900,104,1,0.271955,1 3 4 5 7 8
p05,AS,15,987654336,900,104,1,0.260755,1 3 4 5 7 8
p05,AS,16,987654337,900,104,1,0.227895,1 3 4 5 7 8
p05,AS,17,987654338,900,104,1,0.220281,1 3 4 5 7 8
p05,AS,18,987654339,900,104,1,0.273331,1 3 4 5 7 8
p05,AS,19,987654340,900,104,1,0.244997,1 3 4 5 7 8
p05,AS,20,987654341,900,104,1,0.211581,1 3 4 5 7 8
