instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p05.txt,1,AS,900,104,1,0.0219787,0.0269728,0.00415877,0,0,112352
p05.txt,1,ASRank,900,104,1,0.0201452,0.0238779,0.00388592,0,0,212365
p05.txt,1,MMAS,900,104,1,0.0201611,0.0224069,0.00369362,0,0,312353
p05.txt,1,ACS,900,104,1,0.0183106,0.0239335,0.0091027,0,0,412355
p06.txt,1,AS,1735,169,1,0.0121952,0.0160003,0.00424067,0,0,112365
p06.txt,1,ASRank,1735,169,1,0.0117536,0.0129799,0.000723524,0,0,212364
p06.txt,1,MMAS,1735,169,1,0.0123392,0.0156403,0.00388881,0,0,312365
p06.txt,1,ACS,1682,166,1,0.0123755,0.0177477,0.0122828,0,0,412360
p07.txt,1,AS,1458,749,1,0.0483003,0.0554468,0.00666466,0,0,112361
p07.txt,1,ASRank,1458,749,1,0.0437206,0.0527631,0.00954021,0,0,212359
p07.txt,1,MMAS,1458,749,1,0.0395497,0.0471309,0.00975207,0,0,312359
p07.txt,1,ACS,1458,749,1,0.0368714,0.0454049,0.0129649,0,0,412351
p08.txt,1,AS,13549094,6402560,1,0.0948701,0.12825,0.0323004,0,0,112348
p08.txt,1,ASRank,13549094,6402560,1,0.0921072,0.108328,0.0183388,0,0,212361
p08.txt,1,MMAS,13549094,6402560,1,0.0886875,0.130261,0.0320243,0,0,312347
p08.txt,1,ACS,13509694,6390248,1,0.0824307,0.107453,0.0217979,0,0,412352
p01.txt,2,AS,309,165,1,0.0243833,0.0319091,0.0109263,0,0,112349
p01.txt,2,ASRank,309,165,1,0.0239554,0.0248271,0.00074108,0,0,212365
p01.txt,2,MMAS,309,165,1,0.0228915,0.0245201,0.0034588,0,0,312363
p01.txt,2,ACS,309,165,1,0.0215853,0.0251676,0.0068247,0,0,412352
p02.txt,2,AS,51,26,1,0.0102308,0.0104076,0.000153869,0,0,112351
p02.txt,2,ASRank,51,26,1,0.0104795,0.0108711,0.000786516,0,0,212346
p02.txt,2,MMAS,51,26,1,0.0103088,0.0121963,0.00257833,0,0,312364
p02.txt,2,ACS,51,26,1,0.0089147,0.00918019,0.000289817,0,0,412349
p03.txt,2,AS,150,190,1,0.0118764,0.0139898,0.00212747,0,0,112356
p03.txt,2,ASRank,150,190,1,0.0132334,0.0169885,0.0035628,0,0,212364
p03.txt,2,MMAS,150,190,1,0.0123302,0.0157568,0.00299595,0,0,312359
p03.txt,2,ACS,150,190,1,0.0107802,0.0146014,0.00407135,0,0,412362
p04.txt,2,AS,107,50,1,0.0157919,0.0160423,0.000533151,0,0,112356
p04.txt,2,ASRank,107,50,1,0.0107319,0.0148112,0.00292422,0,0,212365
p04.txt,2,MMAS,107,50,1,0.0110361,0.0182737,0.00884217,0,0,312346
p04.txt,2,ACS,107,50,1,0.0096782,0.0124996,0.00997089,0,0,412353
p05.txt,2,AS,900,104,1,0.0239053,0.0296386,0.00627604,0,0,112354
p05.txt,2,ASRank,900,104,1,0.0217848,0.0225305,0.00113956,0,0,212352
p05.txt,2,MMAS,900,104,1,0.0236916,0.0296963,0.0065173,0,0,312346
p05.txt,2,ACS,900,104,1,0.0200958,0.0272116,0.0160299,0,0,412360
p06.txt,2,AS,1735,169,1,0.0139374,0.0147814,0.000587045,0,0,112358
p06.txt,2,ASRank,1735,169,1,0.013582,0.0258306,0.00709597,0,0,212349
p06.txt,2,MMAS,1735,169,1,0.0214039,0.0276312,0.00282548,0,0,312363
p06.txt,2,ACS,1735,169,1,0.0181208,0.0219696,0.00911904,0,0,412349
p07.txt,2,AS,1458,749,1,0.0538954,0.068767,0.0108403,0,0,112347
p07.txt,2,ASRank,1458,749,1,0.0573744,0.0711742,0.0138838,0,0,212362
p07.txt,2,MMAS,1458,749,1,0.052887,0.0658018,0.0177693,0,0,312365
p07.txt,2,ACS,1458,749,1,0.0485264,0.0597298,0.0108991,0,0,412354
